level2,code2,level3,code3,level4,code4,URL,ID,Name,Description,CRUD
Jobs,JOB,Clean-up,JOB20,,,jobs/cu/execute,JOB2001PU07,Password Confirmation,소프트웨어 제거 실행시 패스워드 확인 팝업,C
Jobs,JOB,Remote Execution,JOB30,,,jobs/remoteExecution/searchDetail,JOB3001PQ02,Remote Execution 검색,검색 필터링,
Jobs,JOB,Remote Execution,JOB30,,,jobs/remoteExecution/add,JOB3001FU04,Remote Execution 등록,"Job Type(Chef Cookbook, Shell Script Set, Shell Script, Ad-Hoc Command )별 저장 또는 저장 및 실행 가능하며, 실행 시 패스워드 확인 필요",C
Jobs,JOB,Remote Execution,JOB30,,,jobs/remoteExecution/list,JOB3001MU01,Remote Execution 상세,상세조회화면,R
Jobs,JOB,Remote Execution,JOB30,,,jobs/remoteExecution/execute,JOB3001PU06,Password Confirmation,실행시 패스워드 확인 팝업,C
Jobs,JOB,Remote Execution,JOB30,,,jobs/remoteExecution/errInfo,JOB3001PU07,Remote Execution 다운로드팝업,Target Nodes List 생성하다 실패 시 오류정보 노출 팝업,R
Jobs,JOB,Remote Execution,JOB30,,,jobs/remoteExecution/edit/jobId/*job-id*,JOB3001FU08,Remote Execution 수정,수정화면,RU
Jobs,JOB,Maintenance,JOB40,,1,jobs/maintenance/list,JOB0401MU01,Hardware/Software 작업조회,,RD
Jobs,JOB,Maintenance,JOB40,,,jobs/maintenance/add,JOB0401FU02,Hardware/Software 작업 등록,,C
Jobs,JOB,Maintenance,JOB40,,,jobs/maintenance/edit/jobId/*job-id*,JOB0401FU03,Hardware/Software 수정,,RU
Jobs,JOB,Agent Bootstrap,JOB50,,1,jobs/agentBootstrap/list,JOB0501MU01,Job #?,조회 및 상세화면,
Jobs,JOB,Agent Bootstrap,JOB50,,,jobs/agentBootstrap/add,JOB0501FU02,Agent Bootstrap Job 등록,등록화면,
Jobs,JOB,Agent Bootstrap,JOB50,,,jobs/agentBootstrap/edit/jobId/*job-id*,JOB0501FU03,Agent Bootstrap Job 수정,수정화면,
Jobs,JOB,Agent Bootstrap,JOB50,,,jobs/agentBootstrap/execute,JOB0501PU04,Password Confirmation,실행시 패스워드 확인 팝업,
Jobs,JOB,Agent Bootstrap,JOB50,,,jobs/agentBootstrap/errInfo,JOB0501PQ05,Fail Information,실패 시 오류정보 노출 팝업,
